"8471669","82","Paul Stastny","COL","C","79","21","32","53","-8","34","7","0","2","0","190","11.1","18:49","23.9","55.4"
"8467330","83","David Legwand","NSH","C","78","19","34","53","+3","26","5","0","2","2","140","13.6","18:31","24.7","46.2"
"8470834","84","Dustin Byfuglien","WPG","D","66","12","41","53","-8","72","4","0","3","0","223","5.4","24:06","25.5","0.0"
"8466285","85","Brian Campbell","FLA","D","82","4","49","53","-9","6","1","0","0","0","131","3.1","26:53","28.7","0.0"
"8470358","86","Alexandre Burrows","VAN","R","80","28","24","52","+24","90","3","2","7","0","198","14.1","18:28","25.8","35.0"
"8476455","87","Gabriel Landeskog","COL","L","82","22","30","52","+20","51","6","0","5","1","270","8.1","18:36","24.3","22.2"
"8476454","88","Ryan Nugent-Hopkins","EDM","C","62","18","34","52","-2","16","3","0","2","0","134","13.4","17:36","21.0","37.5"
"8469521","89","Tomas Plekanec","MTL","C","81","17","35","52","-15","56","5","3","2","0","220","7.7","20:45","26.5","49.1"
"8465009","90","Zdeno Chara","BOS","D","79","12","40","52","+33","86","8","0","0","0","224","5.4","25:00","28.6","0.0"
"8467370","91","Mike Fisher","NSH","C","72","24","27","51","+11","33","5","0","7","0","157","15.3","19:17","25.4","48.3"
"8471362","92","Mikhail Grabovski","TOR","C","74","23","28","51","+0","51","5","0","2","1","163","14.1","17:36","21.5","51.5"
"8474613","93","Derek Stepan","NYR","C","82","17","34","51","+14","22","4","0","4","1","169","10.1","18:56","22.1","44.5"
"8474641","94","Adam Henrique","NJD","C","74","16","35","51","+8","7","0","4","3","1","130","12.3","18:09","23.7","48.8"
"8474565","95","Alex Pietrangelo","STL","D","81","12","39","51","+16","36","6","0","6","1","202","5.9","24:43","32.9","0.0"
"8471217","96","Andrew Ladd","WPG","L","82","28","22","50","-8","64","4","0","6","2","265","10.6","19:33","23.4","54.2"
"8470201","97","Jiri Hudler","DET","C","81","25","25","50","+10","42","2","0","2","0","127","19.7","15:40","20.3","28.6"
"8473533","98","Jordan Staal","PIT","C","62","25","25","50","+11","34","5","3","0","0","149","16.8","20:03","24.5","51.0"
"8462038","99","Shane Doan","PHX","R","79","22","28","50","-8","48","5","0","5","1","226","9.7","19:36","22.2","55.9"
"8471226","100","Drew Stafford","BUF","R","80","20","30","50","+5","46","3","1","4","0","226","8.8","17:38","21.6","52.3"
"8474190","101","Wayne Simmonds","PHI","R","82","28","21","49","-1","114","11","0","4","0","197","14.2","15:54","19.4","41.2"
"8470616","102","Ryan Kesler","VAN","C","77","22","27","49","+11","56","8","1","1","0","222","9.9","20:05","25.8","53.6"
"8467329","103","Vincent Lecavalier","TBL","C","64","22","27","49","-2","50","5","0","5","1","182","12.1","18:55","22.0","47.8"
"8470642","104","Shea Weber","NSH","D","78","19","30","49","+21","46","10","2","1","0","230","8.3","26:09","29.4","0.0"
"8474161","105","Jakub Voracek","PHI","R","78","18","31","49","+11","32","0","0","2","0","190","9.5","16:17","20.6","30.4"
"8464975","106","Danny Briere","PHI","R","70","16","33","49","+5","69","4","0","3","2","174","9.2","17:21","21.0","48.8"
"8467338","107","Alex Tanguay","CGY","L","64","13","36","49","+7","28","1","1","3","0","84","15.5","19:02","23.1","37.3"
